City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,saint-philippe,-21.3585,55.7679,27.77,79,44,4.6,RE,1686216663
285,coronel du graty,-27.6804,-60.9146,18.9,72,0,3.19,AR,1686216664
286,ta`u,-14.2336,-169.5144,27.0,83,66,5.64,AS,1686216664
287,hardeeville,32.2871,-81.0807,22.98,96,21,1.56,US,1686216665
288,nizhnesortymskiy,62.4397,71.7603,10.55,74,100,7.57,RU,1686216665
289,accra,5.556,-0.1969,26.23,100,20,0.51,GH,1686216378
290,mil'kovo,55.6078,37.7956,22.11,45,2,1.65,RU,1686216666
291,bandon,51.7469,-8.7425,16.77,72,100,8.63,IE,1686216667
292,broken hill,-31.95,141.4333,11.97,59,0,5.07,AU,1686216667
293,rondonopolis,-16.4708,-54.6356,18.03,68,0,1.18,BR,1686216555
294,sinop,41.7711,34.8709,17.24,61,2,3.01,TR,1686216668
295,kichha,28.9167,79.5,38.22,28,20,5.66,IN,1686216669
296,acheng,45.5454,126.977,21.19,39,86,1.77,CN,1686216670
297,lihue,21.9789,-159.3672,25.58,86,75,4.63,US,1686216670
298,puerto maldonado,-12.6,-69.1833,23.54,86,100,0.28,PE,1686216671
299,tazovsky,67.4667,78.7,7.77,54,100,5.64,RU,1686216671
300,choconta,5.1447,-73.6858,9.82,90,96,0.82,CO,1686216672
301,takoradi,4.8845,-1.7554,27.75,76,99,4.67,GH,1686216672
302,ha'il,27.5219,41.6907,34.01,18,0,6.17,SA,1686216673
303,yanchep,-31.55,115.6833,15.34,85,99,2.98,AU,1686216674
304,college,64.8569,-147.8028,15.11,71,75,2.57,US,1686216674
305,brookings,44.3114,-96.7984,21.0,89,0,4.12,US,1686216675
306,dolores,-36.3132,-57.6792,13.61,96,83,2.72,AR,1686216602
307,colchani,-20.3,-66.9333,-0.99,30,0,1.03,BO,1686216676
308,sao vicente,-23.9631,-46.3919,20.15,26,0,1.76,BR,1686216677
309,baiti,13.745,-14.7482,31.6,40,42,4.7,SN,1686216677
310,floro,61.5996,5.0328,16.8,58,0,7.2,NO,1686216678
311,balikpapan,-1.2675,116.8289,28.55,84,40,2.06,ID,1686216678
312,lewistown,40.5992,-77.5714,7.58,90,0,0.0,US,1686216679
313,shubarshi,48.5872,57.1869,23.62,29,100,4.01,KZ,1686216702
314,geraldton,-28.7667,114.6,18.23,59,40,4.12,AU,1686216703
315,akjoujt,19.6969,-14.4164,33.62,30,27,8.16,MR,1686216704
316,ighiu,46.15,23.5167,22.03,64,100,1.34,RO,1686216705
317,nishinoomote,30.7333,131.0,24.31,100,75,5.66,JP,1686216705
318,san antonio de pale,-1.4014,5.6325,24.99,74,100,5.58,GQ,1686216706
319,san andres,12.5847,-81.7006,27.01,94,20,0.0,CO,1686216707
320,kozhevnikovo,56.2589,83.9714,30.75,45,54,5.26,RU,1686216708
321,merizo village,13.2658,144.6691,28.85,85,97,3.72,GU,1686216708
322,guatire,10.4762,-66.5427,22.08,95,65,1.46,VE,1686216709
323,flin flon,54.7682,-101.865,15.91,50,0,2.22,CA,1686216709
324,saudarkrokur,65.7461,-19.6394,10.23,76,100,7.58,IS,1686216710
325,tofol,5.3248,163.0078,28.59,77,81,5.08,FM,1686216711
326,arafat,21.3594,39.9664,43.66,8,1,5.13,SA,1686216711
327,anadyr,64.75,177.4833,8.28,65,0,3.58,RU,1686216712
328,xinyuan,37.3,99.0,13.25,45,99,7.66,CN,1686216712
329,aubigny-sur-nere,47.4882,2.439,25.05,54,24,4.46,FR,1686216713
330,vila do maio,15.1333,-23.2167,26.44,84,8,4.81,CV,1686216714
331,vorkuta,67.5,64.0,5.63,50,100,3.95,RU,1686216714
332,pervomayskoye,43.919,46.7102,27.29,28,0,7.11,RU,1686216715
333,kerikeri,-35.2268,173.9474,12.17,87,18,0.89,NZ,1686216715
334,aras-asan,8.8908,126.3033,27.35,84,78,2.63,PH,1686216716
335,howrah,22.5892,88.3103,34.0,75,75,3.6,IN,1686215957
336,grosshansdorf,53.6667,10.2833,21.03,66,0,2.57,DE,1686216717
337,kill devil hills,36.0307,-75.676,17.21,96,40,2.06,US,1686216658
338,la punta,-33.1837,-66.3127,14.67,82,96,5.76,AR,1686216718
339,soio,-6.1349,12.3689,25.43,74,87,3.86,AO,1686216719
340,burang,30.25,81.1667,7.97,66,33,3.59,CN,1686216719
341,enoch,37.7733,-113.0244,10.82,54,0,3.6,US,1686216720
342,segou,13.4317,-6.2157,35.29,35,100,5.13,ML,1686216720
343,pandasan,7.2838,125.8535,29.99,86,37,2.39,PH,1686216721
344,portland,45.5234,-122.6762,16.69,79,75,2.06,US,1686216394
345,luderitz,-26.6481,15.1594,17.21,74,97,4.12,NA,1686216722
346,cannonvale,-20.2833,148.7,21.66,85,1,4.3,AU,1686216723
347,yuzhno-kurilsk,44.0306,145.8556,11.33,98,58,1.43,RU,1686216725
348,moab,38.5733,-109.5498,17.03,58,56,3.06,US,1686216612
349,najaf,31.9985,44.3398,42.73,9,0,7.14,IQ,1686216727
350,sirte,31.2089,16.5887,22.38,70,87,5.26,LY,1686216727
351,afaahiti,-17.75,-149.2833,21.93,66,86,9.19,PF,1686216728
352,petropavlovka,50.6114,105.3196,26.11,32,28,5.59,RU,1686216729
353,tralee,52.2704,-9.7026,17.14,72,0,6.17,IE,1686216729
354,jamestown,42.097,-79.2353,10.8,86,100,2.57,US,1686216730
355,santiago de cao,-7.9589,-79.2392,22.07,94,55,4.12,PE,1686216730
356,yeniseysk,58.4497,92.1703,33.11,32,77,2.8,RU,1686216650
357,rio gallegos,-51.6226,-69.2181,0.03,86,0,0.51,AR,1686216732
358,emerald,-23.5333,148.1667,19.42,57,0,1.9,AU,1686216572
359,tshikapa,-6.4167,20.8,35.39,34,82,0.39,CD,1686216754
360,nanao,37.05,136.9667,21.39,93,100,3.24,JP,1686216754
